Date,Interpolated Value
2021-03-11,2992.254067129558
2021-03-12,2973.2758169222125
2021-03-13,2953.5485946421154
2021-03-14,2933.199219741064
2021-03-15,2912.3545116708556
2021-03-16,2891.1412898832846
2021-03-17,2869.6863738301504
2021-03-18,2848.116582963248
2021-03-19,2826.558736734374
2021-03-20,2805.1396545953257
2021-03-21,2783.9861559979
2021-03-22,2763.225060393892
2021-03-23,2742.983187235099
2021-03-24,2723.387355973319
2021-03-25,2704.5643860603473
2021-03-26,2686.6410969479793
2021-03-27,2669.744308088015
2021-03-28,2654.0008389322475
2021-03-29,2639.537508932476
2021-03-30,2626.4811375404956
2021-03-31,2614.9585442081043
2021-04-01,2605.096548387097
2021-04-02,2596.9796143941203
2021-04-03,2590.522786005217
2021-04-04,2585.5987518612765
2021-04-05,2582.080200603191
2021-04-06,2579.8398208718518
2021-04-07,2578.7503013081487
2021-04-08,2578.6843305529733
2021-04-09,2579.514597247217
2021-04-10,2581.1137900317713
2021-04-11,2583.3545975475267
2021-04-12,2586.109708435374
2021-04-13,2589.2518113362044
2021-04-14,2592.653594890909
2021-04-15,2596.1877477403796
2021-04-16,2599.726958525506
2021-04-17,2603.1439158871804
2021-04-18,2606.3113084662928
2021-04-19,2609.101824903735
2021-04-20,2611.3881538403975
2021-04-21,2613.042983917172
2021-04-22,2613.939003774949
2021-04-23,2613.9489020546207
2021-04-24,2612.9453673970766
2021-04-25,2610.8010884432088
2021-04-26,2607.388753833908
2021-04-27,2602.5810522100655
2021-04-28,2596.2506722125718
2021-04-29,2588.2703024823186
2021-04-30,2578.5126316601963
2021-05-01,2566.850348387097
2021-05-02,2553.1977627479337
2021-05-03,2537.6356706037163
2021-05-04,2520.2864892594744
2021-05-05,2501.2726360202405
2021-05-06,2480.7165281910457
2021-05-07,2458.740583076922
2021-05-08,2435.4672179828995
2021-05-09,2411.018850214011
2021-05-10,2385.517897075287
2021-05-11,2359.0867758717595
2021-05-12,2331.84790390846
2021-05-13,2303.9236984904196
2021-05-14,2275.43657692267
2021-05-15,2246.508956510242
2021-05-16,2217.263254558168
2021-05-17,2187.8218883714785
2021-05-18,2158.3072752552057
2021-05-19,2128.841832514381
2021-05-20,2099.547977454035
2021-05-21,2070.5481273792
2021-05-22,2041.964699594907
2021-05-23,2013.9201114061875
