Date,Interpolated Value
2020-01-01,2926.309212903226
2020-01-02,2935.736015608741
2020-01-03,2945.162818314256
2020-01-04,2954.589621019771
2020-01-05,2964.0164237252866
2020-01-06,2973.4432264308016
2020-01-07,2982.8700291363166
2020-01-08,2992.2968318418316
2020-01-09,3001.7236345473466
2020-01-10,3011.1504372528616
2020-01-11,3020.577239958377
2020-01-12,3030.004042663892
2020-01-13,3039.430845369407
2020-01-14,3048.857648074922
2020-01-15,3058.284450780437
2020-01-16,3067.711253485952
2020-01-17,3077.1380561914675
2020-01-18,3086.5648588969825
2020-01-19,3095.9916616024975
2020-01-20,3105.4184643080125
2020-01-21,3114.8452670135275
2020-01-22,3124.2720697190425
2020-01-23,3133.6988724245575
2020-01-24,3143.125675130073
2020-01-25,3152.552477835588
2020-01-26,3161.979280541103
2020-01-27,3171.406083246618
2020-01-28,3180.832885952133
2020-01-29,3190.2596886576484
2020-01-30,3199.6864913631634
2020-01-31,3209.1132940686784
2020-02-01,3218.5400967741934
2020-02-02,3206.4151417130142
2020-02-03,3194.2901866518355
2020-02-04,3182.1652315906563
2020-02-05,3170.040276529477
2020-02-06,3157.915321468298
2020-02-07,3145.790366407119
2020-02-08,3133.66541134594
2020-02-09,3121.5404562847607
2020-02-10,3109.4155012235815
2020-02-11,3097.2905461624027
2020-02-12,3085.1655911012235
2020-02-13,3073.0406360400443
2020-02-14,3060.9156809788656
2020-02-15,3048.7907259176864
2020-02-16,3036.665770856507
2020-02-17,3024.540815795328
2020-02-18,3012.415860734149
2020-02-19,3000.29090567297
2020-02-20,2988.165950611791
2020-02-21,2976.040995550612
2020-02-22,2963.916040489433
2020-02-23,2951.7910854282536
2020-02-24,2939.6661303670744
2020-02-25,2927.5411753058956
2020-02-26,2915.4162202447164
2020-02-27,2903.2912651835372
2020-02-28,2891.1663101223585
2020-02-29,2879.0413550611793
2020-03-01,2866.9164
2020-03-02,2847.528471800208
2020-03-03,2828.140543600416
2020-03-04,2808.7526154006246
2020-03-05,2789.3646872008326
2020-03-06,2769.9767590010406
2020-03-07,2750.5888308012486
2020-03-08,2731.200902601457
2020-03-09,2711.812974401665
2020-03-10,2692.425046201873
2020-03-11,2673.037118002081
2020-03-12,2653.6491898022896
2020-03-13,2634.2612616024976
2020-03-14,2614.8733334027056
2020-03-15,2595.4854052029136
2020-03-16,2576.0974770031216
2020-03-17,2556.70954880333
2020-03-18,2537.321620603538
2020-03-19,2517.933692403746
2020-03-20,2498.545764203954
2020-03-21,2479.157836004162
2020-03-22,2459.7699078043706
2020-03-23,2440.3819796045786
2020-03-24,2420.9940514047867
2020-03-25,2401.606123204995
2020-03-26,2382.218195005203
2020-03-27,2362.830266805411
2020-03-28,2343.442338605619
2020-03-29,2324.054410405827
2020-03-30,2304.6664822060357
2020-03-31,2285.2785540062437
2020-04-01,2265.8906258064517
2020-04-02,2262.409247419355
2020-04-03,2258.927869032258
2020-04-04,2255.4464906451612
2020-04-05,2251.9651122580644
2020-04-06,2248.4837338709676
2020-04-07,2245.0023554838713
2020-04-08,2241.5209770967745
2020-04-09,2238.0395987096776
2020-04-10,2234.558220322581
2020-04-11,2231.076841935484
2020-04-12,2227.595463548387
2020-04-13,2224.1140851612904
2020-04-14,2220.6327067741936
2020-04-15,2217.151328387097
2020-04-16,2213.6699500000004
2020-04-17,2210.1885716129036
2020-04-18,2206.707193225807
2020-04-19,2203.22581483871
2020-04-20,2199.744436451613
2020-04-21,2196.2630580645164
2020-04-22,2192.7816796774196
2020-04-23,2189.3003012903227
2020-04-24,2185.818922903226
2020-04-25,2182.337544516129
2020-04-26,2178.8561661290323
2020-04-27,2175.374787741936
2020-04-28,2171.893409354839
2020-04-29,2168.4120309677423
2020-04-30,2164.9306525806455
2020-05-01,2161.4492741935487
2020-05-02,2157.929307180021
2020-05-03,2154.4093401664936
2020-05-04,2150.889373152966
2020-05-05,2147.3694061394385
2020-05-06,2143.849439125911
2020-05-07,2140.3294721123834
2020-05-08,2136.809505098856
2020-05-09,2133.289538085328
2020-05-10,2129.7695710718003
2020-05-11,2126.249604058273
