Date,Interpolated Demand,Interpolated Total Value
2020-05-03,12660.875182101976,546400932.7810093
2020-05-04,12837.772934443286,554114258.0484495
2020-05-05,13014.670686784599,561827583.3158896
2020-05-06,13191.56843912591,569540908.5833298
2020-05-07,13368.46619146722,577254233.85077
2020-05-08,13545.363943808532,584967559.1182102
2020-05-09,13722.261696149842,592680884.3856503
2020-05-10,13899.159448491155,600394209.6530905
2020-05-11,14076.057200832465,608107534.9205307
2020-05-12,14252.954953173776,615820860.1879709
2020-05-13,14429.852705515088,623534185.455411
2020-05-14,14606.750457856398,631247510.7228512
2020-05-15,14783.648210197709,638960835.9902914
2020-05-16,14960.545962539021,646674161.2577314
2020-05-17,15137.443714880332,654387486.5251716
2020-05-18,15314.341467221644,662100811.7926118
2020-05-19,15491.239219562955,669814137.0600519
2020-05-20,15668.136971904267,677527462.3274921
2020-05-21,15845.034724245577,685240787.5949323
2020-05-22,16021.932476586888,692954112.8623725
2020-05-23,16198.8302289282,700667438.1298127
2020-05-24,16375.72798126951,708380763.3972528
2020-05-25,16552.62573361082,716094088.664693
2020-05-26,16729.523485952133,723807413.9321332
2020-05-27,16906.421238293442,731520739.1995733
2020-05-28,17083.318990634754,739234064.4670135
2020-05-29,17260.216742976067,746947389.7344537
2020-05-30,17437.11449531738,754660715.0018938
2020-05-31,17614.012247658688,762374040.269334
2020-06-01,17790.91,770087365.5367742
2020-06-02,17874.80589247312,772834070.9335269
2020-06-03,17958.701784946235,775580776.3302796
2020-06-04,18042.597677419355,778327481.7270322
2020-06-05,18126.493569892475,781074187.1237849
2020-06-06,18210.38946236559,783820892.5205376
2020-06-07,18294.28535483871,786567597.9172903
2020-06-08,18378.181247311826,789314303.3140429
2020-06-09,18462.077139784946,792061008.7107956
2020-06-10,18545.973032258065,794807714.1075484
2020-06-11,18629.86892473118,797554419.5043011
2020-06-12,18713.7648172043,800301124.9010537
2020-06-13,18797.66070967742,803047830.2978064
2020-06-14,18881.556602150536,805794535.6945591
2020-06-15,18965.452494623656,808541241.0913118
2020-06-16,19049.348387096776,811287946.4880645
2020-06-17,19133.24427956989,814034651.8848171
2020-06-18,19217.14017204301,816781357.2815698
2020-06-19,19301.036064516127,819528062.6783226
2020-06-20,19384.931956989247,822274768.0750753
2020-06-21,19468.827849462366,825021473.4718279
2020-06-22,19552.723741935482,827768178.8685806
2020-06-23,19636.619634408602,830514884.2653333
2020-06-24,19720.51552688172,833261589.662086
2020-06-25,19804.411419354838,836008295.0588386
2020-06-26,19888.307311827957,838755000.4555913
2020-06-27,19972.203204301077,841501705.852344
2020-06-28,20056.099096774193,844248411.2490968
2020-06-29,20139.994989247312,846995116.6458495
2020-06-30,20223.89088172043,849741822.0426021
2020-07-01,20307.786774193548,852488527.4393548
2020-07-02,20251.710780437043,850089524.1953901
2020-07-03,20195.63478668054,847690520.9514256
2020-07-04,20139.558792924036,845291517.7074609
2020-07-05,20083.482799167534,842892514.4634963
2020-07-06,20027.40680541103,840493511.2195317
2020-07-07,19971.330811654527,838094507.9755671
2020-07-08,19915.25481789802,835695504.7316024
2020-07-09,19859.17882414152,833296501.4876379
2020-07-10,19803.102830385014,830897498.2436732
2020-07-11,19747.02683662851,828498494.9997087
2020-07-12,19690.950842872007,826099491.755744
2020-07-13,19634.874849115502,823700488.5117793
2020-07-14,19578.798855359,821301485.2678148
2020-07-15,19522.722861602495,818902482.0238501
2020-07-16,19466.646867845993,816503478.7798855
2020-07-17,19410.570874089488,814104475.5359209
2020-07-18,19354.494880332986,811705472.2919563
2020-07-19,19298.41888657648,809306469.0479916
2020-07-20,19242.34289281998,806907465.8040271
2020-07-21,19186.266899063474,804508462.5600624
2020-07-22,19130.19090530697,802109459.3160977
2020-07-23,19074.114911550467,799710456.0721332
2020-07-24,19018.03891779396,797311452.8281685
2020-07-25,18961.96292403746,794912449.584204
2020-07-26,18905.886930280954,792513446.3402393
2020-07-27,18849.810936524453,790114443.0962747
2020-07-28,18793.734942767947,787715439.8523101
2020-07-29,18737.658949011446,785316436.6083455
2020-07-30,18681.58295525494,782917433.3643808
2020-07-31,18625.50696149844,780518430.1204163
2020-08-01,18569.430967741933,778119426.8764516
2020-08-02,18800.27739854318,787941815.1703434
2020-08-03,19031.12382934443,797764203.4642352
2020-08-04,19261.97026014568,807586591.758127
2020-08-05,19492.81669094693,817408980.0520188
