Date,Interpolated Demand,Interpolated Total Value
2020-03-20,11867.109262828002,495562806.3552872
2020-03-21,11624.264084752487,485494936.3951236
2020-03-22,11386.331628012584,475636081.48290443
2020-03-23,11154.659757893302,466044619.7906536
2020-03-24,10930.59633967965,456778929.49039483
2020-03-25,10715.489238656639,447897388.75415206
2020-03-26,10510.686320109276,439458375.7539492
2020-03-27,10317.53544932257,431520268.66181004
2020-03-28,10137.384491581528,424141445.6497582
2020-03-29,9971.581312171162,417380284.8898177
2020-03-30,9821.473776376477,411295164.55401254
2020-03-31,9688.409749482485,405944462.8143665
2020-04-01,9573.737096774194,401386557.8429032
2020-04-02,9478.46798432742,397665313.6873172
2020-04-03,9402.271781381232,394766537.8979847
2020-04-04,9344.482157965505,392661523.9009529
2020-04-05,9304.432784110113,391321565.12226844
2020-04-06,9281.457329844929,390717954.98797846
2020-04-07,9274.889465199834,390821986.92412966
2020-04-08,9284.062860204698,391604954.35676914
2020-04-09,9308.311184889399,393038150.7119438
2020-04-10,9346.968109283815,395092869.41570044
2020-04-11,9399.367303417814,397740403.89408606
2020-04-12,9464.842437321278,400952047.5731476
2020-04-13,9542.727181024082,404699093.8789319
2020-04-14,9632.355204556097,408952836.2374858
2020-04-15,9733.060177947202,413684568.0748564
2020-04-16,9844.175771227274,418865582.8170905
2020-04-17,9965.035654426183,424467173.89023507
2020-04-18,10094.97349757381,430460634.7203371
2020-04-19,10233.322970700026,436817258.7334433
2020-04-20,10379.417743834709,443508339.3556007
2020-04-21,10532.591487007734,450505170.01285625
2020-04-22,10692.177870248974,457779044.1312568
2020-04-23,10857.510563588308,465301255.13684934
2020-04-24,11027.92323705561,473043096.4556806
2020-04-25,11202.749560680753,480975861.51379776
2020-04-26,11381.32320449362,489070843.7372476
2020-04-27,11562.977838524075,497299336.55207694
2020-04-28,11747.047132802003,505632633.38433295
2020-04-29,11932.86475735727,514042027.66006225
2020-04-30,12119.764382219766,522498812.8053119
2020-05-01,12307.079677419353,530974282.246129
2020-05-02,12494.248585417225,539443882.6490526
2020-05-03,12681.126138399808,547899673.6425923
2020-05-04,12867.671640984849,556337868.09575
2020-05-05,13053.84439779009,564754678.8775276
2020-05-06,13239.603713433273,573146318.8569269
2020-05-07,13424.908892532145,581509000.9029499
2020-05-08,13609.71923970444,589838937.8845985
2020-05-09,13793.994059567913,598132342.6708746
2020-05-10,13977.692656740297,606385428.13078
2020-05-11,14160.774335839342,614594407.1333166
2020-05-12,14343.198401482785,622755492.5474865
2020-05-13,14524.924158288371,630864897.2422916
2020-05-14,14705.910910873848,638918834.0867333
2020-05-15,14886.117963856952,646913515.9498142
2020-05-16,15065.504621855429,654845155.7005357
2020-05-17,15244.03018948702,662709966.2078998
2020-05-18,15421.653971369473,670504160.3409088
2020-05-19,15598.335272120526,678223950.9685639
2020-05-20,15774.033396357923,685865550.9598675
2020-05-21,15948.707648699406,693425173.1838213
2020-05-22,16122.317333762721,700899030.5094272
2020-05-23,16294.821756165611,708283335.8056874
2020-05-24,16466.180220525814,715574301.9416034
2020-05-25,16636.35203146108,722768141.7861773
2020-05-26,16805.296493589147,729861068.208411
2020-05-27,16972.97291152776,736849294.0773063
2020-05-28,17139.34058989466,743729032.2618651
2020-05-29,17304.35883330759,750496495.6310893
2020-05-30,17467.986946384295,757147897.0539812
2020-05-31,17630.18423374252,763679449.3995421
2020-06-01,17790.91,770087365.5367742
2020-06-02,17950.071002003904,776366615.3229908
2020-06-03,18107.363805519068,782507196.5687511
2020-06-04,18262.432428539745,788497864.0729254
2020-06-05,18414.9208890602,794327372.6343848
2020-06-06,18564.47320507467,799984477.0519994
2020-06-07,18710.733394577434,805457932.1246402
2020-06-08,18853.345475562724,810736492.6511774
2020-06-09,18991.953466024817,815808913.4304819
2020-06-10,19126.201383957956,820663949.2614243
2020-06-11,19255.733247356406,825290354.9428749
2020-06-12,19380.19307421441,829676885.2737045
2020-06-13,19499.224882526236,833812295.0527837
2020-06-14,19612.472690286133,837685339.078983
2020-06-15,19719.580515488364,841284772.151173
2020-06-16,19820.192376127176,844599349.0682243
2020-06-17,19913.95229019683,847617824.6290076
2020-06-18,20000.50427569158,850328953.6323934
2020-06-19,20079.492350605684,852721490.8772522
2020-06-20,20150.560532933396,854784191.1624547
2020-06-21,20213.35284066897,856505809.2868717
2020-06-22,20267.513291806667,857875100.0493731
2020-06-23,20312.685904340742,858880818.2488303
2020-06-24,20348.514696265443,859511718.6841136
2020-06-25,20374.64368557503,859756556.1540933
2020-06-26,20390.716890263764,859604085.4576404
2020-06-27,20396.378328325904,859043061.3936253
2020-06-28,20391.27201775569,858062238.7609185
2020-06-29,20375.04197654739,856650372.3583909
2020-06-30,20347.33222269526,854796216.9849129
2020-07-01,20307.786774193548,852488527.4393548
2020-07-02,20256.29469940296,849725574.0132552
2020-07-03,20193.725268149945,846543688.9688233
2020-07-04,20121.19280062741,842988720.0609355
2020-07-05,20039.811617028252,839106515.0444686
2020-07-06,19950.696037545367,834942921.6742991
2020-07-07,19854.960382371664,830543787.7053043
2020-07-08,19753.71897170003,825954960.8923602
2020-07-09,19648.08612572337,821222288.9903439
2020-07-10,19539.17616463459,816391619.754132
2020-07-11,19428.10340862658,811508800.9386014
2020-07-12,19315.982177892245,806619680.2986286
2020-07-13,19203.92679262448,801770105.5890903
2020-07-14,19093.05157301619,797005924.5648633
2020-07-15,18984.470839260266,792372984.9808244
2020-07-16,18879.298911549617,787917134.59185
2020-07-17,18778.650110077135,783684221.152817
2020-07-18,18683.638755035725,779720092.4186022
2020-07-19,18595.379166618284,776070596.1440822
2020-07-20,18514.985665017706,772781580.0841336
2020-07-21,18443.572570426903,769898891.9936334
2020-07-22,18382.254203038763,767468379.627458
2020-07-23,18332.14488304619,765535890.7404845
2020-07-24,18294.358930642084,764147273.0875888
2020-07-25,18270.01066601934,763348374.4236486
2020-07-26,18260.214409370863,763185042.50354
2020-07-27,18266.084480889553,763703125.08214
2020-07-28,18288.7352007683,764948469.9143252
2020-07-29,18329.280889200018,766966924.7549721
2020-07-30,18388.835866377594,769804337.3589578
2020-07-31,18468.514452493935,773506555.4811587
2020-08-01,18569.430967741933,778119426.8764516
2020-08-02,18692.277258532493,783670661.7967691
2020-08-03,18836.0552761485,790115420.4822685
2020-08-04,18999.34449809085,797390725.6701618
2020-08-05,19180.72440186043,805433600.0976622
2020-08-06,19378.77446495812,814181066.5019825
2020-08-07,19592.074164884827,823570147.6203355
2020-08-08,19819.20297914142,833537866.1899335
2020-08-09,20058.740385228808,844021244.9479898
2020-08-10,20309.26586064786,854957306.631717
2020-08-11,20569.358882899487,866283073.9783279
2020-08-12,20837.59892948456,877935569.7250351
2020-08-13,21112.56547790398,889851816.6090516
2020-08-14,21392.83800565863,901968837.36759
2020-08-15,21676.9959902494,914223654.7378632
2020-08-16,21963.618909177178,926553291.4570838
2020-08-17,22251.28623994286,938894770.2624648
2020-08-18,22538.577460047327,951185113.8912188
2020-08-19,22824.072046991474,963361345.0805587
2020-08-20,23106.349478276185,975360486.567697
2020-08-21,23383.989231402356,987119561.0898468
2020-08-22,23655.57078387087,998575591.3842208
2020-08-23,23919.67361318262,1009665600.1880317
2020-08-24,24174.87719683849,1020326610.238492
2020-08-25,24419.761012339375,1030495644.272815
2020-08-26,24652.904537186165,1040109725.0282131
2020-08-27,24872.88724887975,1049105875.2418995
2020-08-28,25078.288624921006,1057421117.6510862
2020-08-29,25267.68814281084,1064992474.9929867
2020-08-30,25439.66528005013,1071756970.0048136
2020-08-31,25592.79951413977,1077651625.423779
2020-09-01,25725.670322580645,1082613463.9870968
2020-09-02,25837.26155150966,1086597854.8301935
2020-09-03,25928.174521607747,1089633552.6813536
2020-09-04,25999.414922191856,1091767658.6670768
2020-09-05,26051.98844257894,1093047273.9138615
2020-09-06,26086.90077208594,1093519499.5482073
2020-09-07,26105.1576000298,1093231436.6966126
2020-09-08,26107.76461572748,1092230186.485577
2020-09-09,26095.72750849592,1090562850.0415998
2020-09-10,26070.05196765207,1088276528.4911795
2020-09-11,26031.743682512875,1085418322.960815
2020-09-12,25981.808342395285,1082035334.577006
2020-09-13,25921.251636616245,1078174664.4662511
2020-09-14,25851.07925449271,1073883413.7550497
2020-09-15,25772.29688534162,1069208683.5699008
2020-09-16,25685.910218479923,1064197575.037303
2020-09-17,25592.924943224578,1058897189.2837559
2020-09-18,25494.346748892516,1053354627.4357585
2020-09-19,25391.1813248007,1047616990.6198094
2020-09-20,25284.43436026606,1041731379.9624082
2020-09-21,25175.111544605563,1035744896.5900533
2020-09-22,25064.218567136144,1029704641.6292447
2020-09-23,24952.761117174756,1023657716.2064809
2020-09-24,24841.744884038344,1017651221.4482607
2020-09-25,24732.175557043858,1011732258.4810836
2020-09-26,24625.058825508248,1005947928.4314487
2020-09-27,24521.400378748454,1000345332.4258547
2020-09-28,24422.20590608143,994971571.590801
2020-09-29,24328.481096824125,989873747.0527862
2020-09-30,24241.23164029348,985098959.93831
2020-10-01,24161.463225806452,980694311.373871
2020-10-02,24090.0472367525,976700611.5185684
2020-10-03,24027.31783281118,973133506.6619015
2020-10-04,23973.47486773456,970002352.1259693
2020-10-05,23928.718195274712,967316503.2328715
2020-10-06,23893.24766918371,965085315.3047072
2020-10-07,23867.263143213615,963318143.6635756
2020-10-08,23850.964471116506,962024343.631576
2020-10-09,23844.55150664445,961213270.5308077
2020-10-10,23848.224103549517,960894279.6833698
2020-10-11,23862.18211558378,961076726.4113618
2020-10-12,23886.625396499312,961769966.036883
2020-10-13,23921.753800048176,962983353.8820324
2020-10-14,23967.76717998245,964726245.2689096
2020-10-15,24024.865390054205,967007995.5196135
2020-10-16,24093.248284015503,969837959.9562436
2020-10-17,24173.115715618424,973225493.9008993
2020-10-18,24264.66753861503,977179952.6756797
2020-10-19,24368.1036067574,981710691.602684
2020-10-20,24483.623773797597,986827066.0040115
2020-10-21,24611.4278934877,992538431.2017615
2020-10-22,24751.71581957977,998854142.5180335
2020-10-23,24904.687405825887,1005783555.2749263
2020-10-24,25070.542505978116,1013336024.7945397
2020-10-25,25249.48097378853,1021520906.3989725
2020-10-26,25441.7026630092,1030347555.4103242
2020-10-27,25647.407427392198,1039825327.1506941
2020-10-28,25866.795120689585,1049963576.9421815
2020-10-29,26100.06559665344,1060771660.1068854
2020-10-30,26347.418709035832,1072258931.9669055
2020-10-31,26609.054311588832,1084434747.8443408
2020-11-01,26885.172258064515,1097308463.0612903
2020-11-02,27175.65931498581,1110874892.9729106
2020-11-03,27479.14989995911,1125070693.066586
2020-11-04,27793.965343361684,1139817978.8627572
2020-11-05,28118.42697557078,1155038865.8818653
2020-11-06,28450.856126963663,1170655469.6443515
2020-11-07,28789.574127917593,1186589905.670657
2020-11-08,29132.902308809826,1202764289.4812224
2020-11-09,29479.162000017626,1219100736.5964894
2020-11-10,29826.674531918252,1235521362.5368986
2020-11-11,30173.761234888956,1251948282.8228912
2020-11-12,30518.74343930701,1268303612.9749084
2020-11-13,30859.942475549662,1284509468.5133908
2020-11-14,31195.67967399418,1300487964.9587803
2020-11-15,31524.276365017802,1316161217.8315177
2020-11-16,31844.05387899782,1331451342.6520433
2020-11-17,32153.333546311474,1346280454.940799
2020-11-18,32450.436697336023,1360570670.2182255
2020-11-19,32733.68466244874,1374244104.0047646
2020-11-20,33001.39877202686,1387222871.8208563
2020-11-21,33251.90035644767,1399429089.186942
2020-11-22,33483.51074608841,1410784871.6234632
2020-11-23,33694.551271326345,1421212334.6508605
2020-11-24,33883.343262538736,1430633593.7895756
2020-11-25,34048.20805010284,1438970764.5600488
2020-11-26,34187.46696439592,1446145962.4827218
2020-11-27,34299.441335795236,1452081303.078035
2020-11-28,34382.45249467804,1456698901.86643
2020-11-29,34434.82177142159,1459920874.3683481
2020-11-30,34454.870496403164,1461669336.1042295
2020-12-01,34440.92,1461866402.594516
2020-12-02,34391.82315617134,1460458725.0047967
2020-12-03,34308.5590132043,1457491097.0812533
2020-12-04,34192.63816296798,1453032848.2152162
2020-12-05,34045.57119733148,1447153307.7980154
2020-12-06,33868.86870816389,1439921805.2209806
2020-12-07,33664.04128733431,1431407669.8754425
2020-12-08,33432.59952671182,1421680231.152731
2020-12-09,33176.054018165516,1410808818.4441762
2020-12-10,32895.91535356451,1398862761.141108
2020-12-11,32593.69412477788,1385911388.6348567
2020-12-12,32270.90092367474,1372024030.3167522
2020-12-13,31929.04634212417,1357270015.578125
2020-12-14,31569.640971995264,1341718673.8103049
2020-12-15,31194.19540515712,1325439334.4046218
2020-12-16,30804.220233478838,1308501326.7524061
2020-12-17,30401.226048829507,1290973980.2449877
2020-12-18,29986.723443078226,1272926624.273697
2020-12-19,29562.223008094086,1254428588.2298636
2020-12-20,29129.235335746176,1235549201.5048184
2020-12-21,28689.27101790361,1216357793.4898908
2020-12-22,28243.840646435467,1196923693.576411
2020-12-23,27794.454813210843,1177316231.1557097
2020-12-24,27342.624110098845,1157604735.619116
2020-12-25,26889.859128968546,1137858536.3579607
2020-12-26,26437.670461689057,1118146962.7635736
2020-12-27,25987.568700129475,1098539344.227285
2020-12-28,25541.064436158886,1079105010.1404247
2020-12-29,25099.66826164639,1059913289.8943232
2020-12-30,24664.89076846107,1041033512.8803103
2020-12-31,24238.242548472044,1022535008.4897163
2021-01-01,23821.23419354839,1004487106.113871
2021-01-02,23415.286063639698,986954218.9677465
2021-01-03,23021.45759101753,969981095.5608814
2021-01-04,22640.717976033942,953607568.2264556
2021-01-05,22274.036419040993,937873469.29765
2021-01-06,21922.38212039072,922818631.1076448
2021-01-07,21586.7242804352,908482885.9896202
2021-01-08,21268.03209952647,894906066.2767564
2021-01-09,20967.274778016592,882128004.3022339
2021-01-10,20685.42151625762,870188532.399233
2021-01-11,20423.441514601604,859127482.9009341
2021-01-12,20182.303973400598,848984688.1405175
2021-01-13,19962.978093006666,839799980.4511633
2021-01-14,19766.43307377185,831613192.1660522
